X,Y,Z
-0.14520534966782017,-0.3462575831638222,-0.18820495888367963
-0.1381513497748968,-0.3353526450840472,-0.18245224773566052
-0.13459360996182937,-0.33266813926943495,-0.18116422749365693
-0.13305108535725285,-0.3349344442316928,-0.18257146030624505
-0.12889135716015915,-0.3305511779551613,-0.18035232752245461
-0.12797666034774463,-0.33445891639431047,-0.18265600373790158
-0.12451089062461185,-0.33169958695527557,-0.18131863492334332
-0.12047036241658739,-0.32724805553587716,-0.17905199595273313
-0.11739743386761767,-0.32527739773211944,-0.17813893207041692
-0.11494623874988125,-0.3249626279153126,-0.17813102350866564
-0.11192084402038109,-0.322956527460145,-0.17719430478755946
-0.10892498960710943,-0.32093169014836703,-0.17624477047595882
-0.10623840648341831,-0.319729738106541,-0.17574502719562213
-0.10494050314297833,-0.32272510582301117,-0.17755283520792342
-0.10172669213906599,-0.31981006721650074,-0.17610850961252464
-0.09855418642523628,-0.3168747317322632,-0.17464964666270777
-0.09465153598139975,-0.3113809529593077,-0.17177604993552995
-0.09409489974327168,-0.3168751749570732,-0.1749636618513437
-0.09199185248028163,-0.31728182603857935,-0.17534466508301366
-0.08916468617587706,-0.31512953086820944,-0.17431022234062857
-0.08613361508332022,-0.31210985660712265,-0.17279307780208228
-0.08543527209972268,-0.31758588042155567,-0.17598023197797086
-0.08153870300320379,-0.3111292488238759,-0.17255444764093644
-0.0786008513964375,-0.30806020484850827,-0.17100245290216554
-0.07591772346111138,-0.3058275348643459,-0.16991181690427198
-0.07409161048345836,-0.3069997575502574,-0.17071204302886459
-0.07144882497788729,-0.3047392647923505,-0.1696026247341171
-0.06883775424820834,-0.3024634320510049,-0.16848218441833018
-0.06701575674992868,-0.30360300858059847,-0.16926341319743815
-0.06573091124411216,-0.3073091137239634,-0.1714775882430183
-0.06279712294092621,-0.30327854446263963,-0.1693743086283948
-0.059229625384287915,-0.2957910139195789,-0.1653346170613756
-0.057760553147173564,-0.2986074032438956,-0.16705190574674683
-0.054969345804528655,-0.2945281596713574,-0.16491070129294666
-0.05316356056879655,-0.29560347785134544,-0.16565396631538176
-0.05015044377874229,-0.28977069650517706,-0.16252351650986582
-0.048651140133527206,-0.29254976064508936,-0.1642215432393298
-0.04601359412946737,-0.2884141221959179,-0.16203721007135552
