X,Y,Z
-0.0013039864977256962,-0.0011531669830627809,-0.0009847971887158163
-0.0012958674341551695,-0.0011614405066416647,-0.0009857910136573933
-0.0012877045190588976,-0.0011696747276368612,-0.0009867514799089723
-0.0012794980286659709,-0.0011778693674063246,-0.0009876785549688411
-0.0012712482406800456,-0.0011860241486474177,-0.0009885722074652295
-0.0012629554342699475,-0.0011941387954062964,-0.0009894324071573698
-0.0012546198900602256,-0.0012022130330872488,-0.0009902591249365217
-0.0012462418901216545,-0.0012102465884619852,-0.0009910523328269562
-0.43199976760821335,-0.4251654654267304,-0.3461423798080741
-0.43457862919531093,-0.4334583551135349,-0.3508622146967553
-0.43340388203768887,-0.43810566218547387,-0.35259687741724416
-0.4340073386127274,-0.4446247399280449,-0.35581245064772676
-0.0012037250270022822,-0.001249794664633042,-0.0009945148242247353
-0.5706594348585247,-0.600493716030899,-0.4751633281121985
-0.5807580262544186,-0.6193739896921754,-0.48737771634352506
-0.5806178430047035,-0.627597951848497,-0.49112101521057805
-0.5681226507675188,-0.6224073261296527,-0.4843861016774595
-0.560371705054447,-0.6222418807424395,-0.4816166874581981
-0.5543817273397872,-0.6239536703861193,-0.48032471462918197
-0.5415445184274752,-0.6178014201737767,-0.4730275668724232
-0.5395913659152903,-0.6239688425304,-0.4751926800196424
-0.5342103466947153,-0.626190148788237,-0.4743472289830942
-0.5271556502211084,-0.6263868940548769,-0.471986735545283
-0.5123815219605007,-0.6171943666448371,-0.46261474074754705
-0.5125793247657434,-0.625936280500637,-0.466714299201493
-0.5018021561823078,-0.6212393885103771,-0.4608039837268559
-0.4948951449140666,-0.6211764580344543,-0.45837507018652557
-0.48801712396706665,-0.6210565690826755,-0.4559299664452812
-0.4843515314842106,-0.624987197567719,-0.4564687097985047
-0.4785567785118461,-0.6261514525861535,-0.4549921053117453
-0.4649548585709343,-0.6168995111660917,-0.44600000839921206
-0.4582201914076432,-0.6165367109267029,-0.44349270953127495
-0.4510047322610498,-0.6154197326231655,-0.44047060981708464
-0.44839528902146436,-0.6205583834591902,-0.44193333070071417
-0.4407171792319007,-0.618642506083928,-0.4383821129773817
-0.43358799180027946,-0.6173668367921328,-0.43531681785352044
-0.42403556288527133,-0.6124687800187126,-0.42973929249692616
-0.4218978908262656,-0.6182089333444187,-0.43164328232501425
-0.4090700582248966,-0.6081403089853364,-0.42254358198389314
-0.3437386370967425,-0.5184965688541168,-0.3585096030980692
-0.3346006856466401,-0.5121420448859596,-0.35240452528642874
-0.3321345793077999,-0.5158931946384813,-0.35327728349066767
-0.32592370423576256,-0.5137847684757247,-0.35014708551641044
-0.0009188504183361607,-0.0014701735835194847,-0.000997147894258699
-0.0009091121662037184,-0.0014765231241271872,-0.0009966919850975492
-0.0008993431501563028,-0.001482822699908177,-0.0009962023483628126
-0.0008895437007726804,-0.0014890720976878631,-0.000995679000623559
-0.0008797141496614691,-0.0014952711059896557,-0.0009951219595896225
-0.0008698548294499117,-0.0015014195150421178,-0.0009945312441110013
-0.0008599660737726254,-0.0015075171167860683,-0.000993906874177221
-0.0008500482172603078,-0.0015135637048816204,-0.0009932488709166575
-0.0008401015955284155,-0.001519559074715164,-0.000992557256595822
-0.0008301265451658058,-0.0015255030234062905,-0.000991832054618608
-0.0008201234037233471,-0.0015313953498146582,-0.000991073289525499
-0.000810092509702496,-0.001537235854546797,-0.0009902809869927372
-0.0008000342025438437,-0.0015430243399628591,-0.0009894551738314568
-0.0007899488226156283,-0.001548760610183304,-0.0009885958779867747
-0.000779836711202217,-0.0015544444710955281,-0.0009877031285368458
-0.0007696982104925579,-0.0015600757303604338,-0.0009867769556918785
-0.0007595336635686,-0.0015656541974189378,-0.000985817390793113
-0.0007493434143936832,-0.0015711796834984191,-0.0009848244663117603
-0.0007391278078008998,-0.0015766520016191074,-0.0009837982158479033
-0.0007288871894814238,-0.0015820709666004103,-0.0009827386741293603
-0.0007186219059728152,-0.0015874363950671802,-0.0009816458770105095
-0.0007083323046472917,-0.0015927481054559185,-0.0009805198614710755
-0.000698018733699973,-0.0015980059180209214,-0.0009793606656148784
-0.0006876815421371005,-0.0016032096548403603,-0.0009781683286685437
-0.0006773210797642248,-0.0016083591398223034,-0.0009769428909801759
-0.0006669376971743703,-0.0016134541987106762,-0.0009756843940179923
-0.0006565317457361702,-0.0016184946590911554,-0.0009743928803689198
-0.0006461035775819765,-0.0016234803503970057,-0.0009730683937371544
-0.0006356535455959433,-0.00162841110391485,-0.0009717109789426813
-0.0006251820034020879,-0.0016332867527903802,-0.0009703206819197595
-0.0006146893053523209,-0.0016381071320340015,-0.0009688975497153659
-0.0006041758065144575,-0.0016428720785264172,-0.0009674416304876045
-0.000593641862660202,-0.0016475814310241482,-0.0009659529735040761
-0.0005830878302531072,-0.0016522350301649887,-0.0009644316291402114
-0.0005725140664365135,-0.0016568327184734004,-0.000962877648877566
-0.0005619209290214622,-0.0016613743403658392,-0.0009612910853020788
-0.0005513087764745883,-0.0016658597421560226,-0.0009596719921022922
-0.0005406779679059887,-0.0016702887720601283,-0.0009580204240675347
-0.0005300288630570721,-0.0016746612802019314,-0.0009563364370860682
-0.0005193618222883838,-0.0016789771186178763,-0.0009546200881431957
-0.0005086772065674122,-0.001683236141262083,-0.0009528714353193336
0.0,-0.0,-0.0
-0.0004872566970999764,-0.0016915831646697314,-0.0009492774558140402
0.0,-0.0,-0.0
-0.00046577023406885914,-0.0016997012205975334,-0.000945554985040169
-0.0004550031784856315,-0.0017036740411558171,-0.0009436457222069095
-0.00044422072581542594,-0.0017075892102104769,-0.0009417045268598831
-0.00043342324093121416,-0.00171144659527409,-0.0009397314646881993
-0.00042261108921464927,-0.0017152460658146156,-0.0009377266024593255
0.0,-0.0,-0.0
-0.0004009442492802892,-0.0017226707510015922,-0.0009336217502780743
-0.0003900902942578534,-0.0017262957144002955,-0.0009315218992319047
-0.00037922313876897237,-0.001729862260788919,-0.00092939052593626
0.0,-0.0,-0.0
0.0,-0.0,-0.0
-0.0003465461490552037,-0.001740210200900759,-0.0009228079991176756
-0.0003356298733735028,-0.0017435418921759491,-0.0009205512687006725
-0.0003247022401395975,-0.0017468145828387642,-0.0009182633872750131
-0.0003137636191392995,-0.0017500281621429395,-0.0009159444322614958
0.0,-0.0,-0.0
0.0,-0.0,-0.0
0.0,-0.0,-0.0
-0.00026990666594099136,-0.001762289220935223,-0.0009063594614918307
-0.00025891866547095657,-0.0017652056523900783,-0.0009038863365603425
-0.0002479219033188041,-0.0017680623501414154,-0.0009013826245534228
0.0,-0.0,-0.0
-0.000225903582752445,-0.0017735961598810983,-0.0008962837792430753
0.0,-0.0,-0.0
0.0,-0.0,-0.0
-0.00019281970137652,-0.0017814465208498423,-0.0008884082598066507
-0.00018177819325394752,-0.001783942857298197,-0.0008857228405837201
0.0,-0.0,-0.0
-0.00015967709699843673,-0.0017887543444785625,-0.0008802621767307963
0.0,-0.0,-0.0
0.0,-0.0,-0.0
0.0,-0.0,-0.0
0.0,-0.0,-0.0
0.0,-0.0,-0.0
0.0,-0.0,-0.0
0.0,-0.0,-0.0
-7.108653479559999e-05,-0.0018055730698966098,-0.0008572356582728614
